Name,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
Miss. Asuncion Duran y More,2,female,27,1,0,13.8583,1
Mr. Washington Augustus II Roebling,1,male,31,0,0,50.4958,0
Mr. Philemon van Melkebeke,3,male,23,0,0,9.5,0
Master. Harold Theodor Johnson,3,male,4,1,1,11.1333,1
Mr. Cerin Balkic,3,male,26,0,0,7.8958,0
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,1,female,47,1,1,52.5542,1
Mr. Frans Olof Carlsson,1,male,33,0,0,5,0
Mr. Victor Vander Cruyssen,3,male,47,0,0,9,0
Mrs. Samuel (Hannah Wizosky) Abelson,2,female,28,1,0,24,1
Miss. Adele Kiamie Najib,3,female,15,0,0,7.225,1
Mr. Alfred Ossian Gustafsson,3,male,20,0,0,9.8458,0
Mr. Nedelio Petroff,3,male,19,0,0,7.8958,0
Mr. Kristo Laleff,3,male,23,0,0,7.8958,0
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,1,female,56,0,1,83.1583,1
Mrs. William (Imanita Parrish Hall) Shelley,2,female,25,0,1,26,1
Mr. Johann Markun,3,male,33,0,0,7.8958,0
Miss. Gerda Ulrika Dahlberg,3,female,22,0,0,10.5167,0
Mr. Frederick James Banfield,2,male,28,0,0,10.5,0
Mr. Henry Jr Sutehall,3,male,25,0,0,7.05,0
Mrs. William (Margaret Norton) Rice,3,female,39,0,5,29.125,0
Rev. Juozas Montvila,2,male,27,0,0,13,0
Miss. Margaret Edith Graham,1,female,19,0,0,30,1
Miss. Catherine Helen Johnston,3,female,7,1,2,23.45,0
Mr. Karl Howell Behr,1,male,26,0,0,30,1
Mr. Patrick Dooley,3,male,32,0,0,7.75,0
